host,port,id_vuln,cvss,url
192.168.56.101,22,CVE-2010-4478,7.5,https://www.vulners.com/cve/CVE-2010-4478
192.168.56.101,22,CVE-2008-1657,6.5,https://www.vulners.com/cve/CVE-2008-1657
192.168.56.101,22,SSV:60656,5.0,https://www.vulners.com/seebug/SSV:60656
192.168.56.101,22,CVE-2017-15906,5.0,https://www.vulners.com/cve/CVE-2017-15906
192.168.56.101,22,CVE-2010-5107,5.0,https://www.vulners.com/cve/CVE-2010-5107
192.168.56.101,22,CVE-2012-0814,3.5,https://www.vulners.com/cve/CVE-2012-0814
192.168.56.101,22,CVE-2011-5000,3.5,https://www.vulners.com/cve/CVE-2011-5000
192.168.56.101,22,CVE-2011-4327,2.1,https://www.vulners.com/cve/CVE-2011-4327
192.168.56.101,22,CVE-2008-3259,1.2,https://www.vulners.com/cve/CVE-2008-3259
192.168.56.101,53,SSV:2853,10.0,https://www.vulners.com/seebug/SSV:2853
192.168.56.101,53,CVE-2008-0122,10.0,https://www.vulners.com/cve/CVE-2008-0122
192.168.56.101,53,SSV:60184,8.5,https://www.vulners.com/seebug/SSV:60184
192.168.56.101,53,CVE-2012-1667,8.5,https://www.vulners.com/cve/CVE-2012-1667
192.168.56.101,53,SSV:60292,7.8,https://www.vulners.com/seebug/SSV:60292
192.168.56.101,53,CVE-2014-8500,7.8,https://www.vulners.com/cve/CVE-2014-8500
192.168.56.101,53,CVE-2012-5166,7.8,https://www.vulners.com/cve/CVE-2012-5166
192.168.56.101,53,CVE-2012-4244,7.8,https://www.vulners.com/cve/CVE-2012-4244
192.168.56.101,53,CVE-2012-3817,7.8,https://www.vulners.com/cve/CVE-2012-3817
192.168.56.101,53,CVE-2008-4163,7.8,https://www.vulners.com/cve/CVE-2008-4163
192.168.56.101,53,CVE-2010-0382,7.6,https://www.vulners.com/cve/CVE-2010-0382
192.168.56.101,53,EXPLOITPACK:D6DDF5E24DE171DAAD71FD95FC1B67F2,7.2,https://www.vulners.com/exploitpack/EXPLOITPACK:D6DDF5E24DE171DAAD71FD95FC1B67F2
192.168.56.101,53,CVE-2017-3141,7.2,https://www.vulners.com/cve/CVE-2017-3141
192.168.56.101,53,CVE-2015-8461,7.1,https://www.vulners.com/cve/CVE-2015-8461
192.168.56.101,53,CVE-2015-8704,6.8,https://www.vulners.com/cve/CVE-2015-8704
192.168.56.101,53,CVE-2009-0025,6.8,https://www.vulners.com/cve/CVE-2009-0025
192.168.56.101,53,CVE-2015-8705,6.6,https://www.vulners.com/cve/CVE-2015-8705
192.168.56.101,53,CVE-2010-3614,6.4,https://www.vulners.com/cve/CVE-2010-3614
192.168.56.101,53,SSV:30099,5.0,https://www.vulners.com/seebug/SSV:30099
192.168.56.101,53,SSV:20595,5.0,https://www.vulners.com/seebug/SSV:20595
192.168.56.101,53,PACKETSTORM:157836,5.0,https://www.vulners.com/packetstorm/PACKETSTORM:157836
192.168.56.101,53,EDB-ID:48521,5.0,https://www.vulners.com/exploitdb/EDB-ID:48521
192.168.56.101,53,CVE-2020-8617,5.0,https://www.vulners.com/cve/CVE-2020-8617
192.168.56.101,53,CVE-2020-8616,5.0,https://www.vulners.com/cve/CVE-2020-8616
192.168.56.101,53,CVE-2017-3145,5.0,https://www.vulners.com/cve/CVE-2017-3145
192.168.56.101,53,CVE-2016-9444,5.0,https://www.vulners.com/cve/CVE-2016-9444
192.168.56.101,53,CVE-2016-9131,5.0,https://www.vulners.com/cve/CVE-2016-9131
192.168.56.101,53,CVE-2016-8864,5.0,https://www.vulners.com/cve/CVE-2016-8864
192.168.56.101,53,CVE-2016-2848,5.0,https://www.vulners.com/cve/CVE-2016-2848
192.168.56.101,53,CVE-2016-1286,5.0,https://www.vulners.com/cve/CVE-2016-1286
192.168.56.101,53,CVE-2015-8000,5.0,https://www.vulners.com/cve/CVE-2015-8000
192.168.56.101,53,CVE-2012-1033,5.0,https://www.vulners.com/cve/CVE-2012-1033
192.168.56.101,53,CVE-2011-4313,5.0,https://www.vulners.com/cve/CVE-2011-4313
192.168.56.101,53,CVE-2011-1910,5.0,https://www.vulners.com/cve/CVE-2011-1910
192.168.56.101,53,CVE-2009-0265,5.0,https://www.vulners.com/cve/CVE-2009-0265
192.168.56.101,53,1337DAY-ID-34485,5.0,https://www.vulners.com/zdt/1337DAY-ID-34485
192.168.56.101,53,SSV:11919,4.3,https://www.vulners.com/seebug/SSV:11919
192.168.56.101,53,EDB-ID:9300,4.3,https://www.vulners.com/exploitdb/EDB-ID:9300
192.168.56.101,53,CVE-2017-3143,4.3,https://www.vulners.com/cve/CVE-2017-3143
192.168.56.101,53,CVE-2017-3142,4.3,https://www.vulners.com/cve/CVE-2017-3142
192.168.56.101,53,CVE-2016-2775,4.3,https://www.vulners.com/cve/CVE-2016-2775
192.168.56.101,53,CVE-2016-1285,4.3,https://www.vulners.com/cve/CVE-2016-1285
192.168.56.101,53,CVE-2010-0097,4.3,https://www.vulners.com/cve/CVE-2010-0097
192.168.56.101,53,CVE-2009-0696,4.3,https://www.vulners.com/cve/CVE-2009-0696
192.168.56.101,53,CVE-2020-8622,4.0,https://www.vulners.com/cve/CVE-2020-8622
192.168.56.101,53,CVE-2016-6170,4.0,https://www.vulners.com/cve/CVE-2016-6170
192.168.56.101,53,CVE-2010-0290,4.0,https://www.vulners.com/cve/CVE-2010-0290
192.168.56.101,53,SSV:14986,2.6,https://www.vulners.com/seebug/SSV:14986
192.168.56.101,53,CVE-2009-4022,2.6,https://www.vulners.com/cve/CVE-2009-4022
192.168.56.101,53,PACKETSTORM:142800,0.0,https://www.vulners.com/packetstorm/PACKETSTORM:142800
192.168.56.101,53,EDB-ID:42121,0.0,https://www.vulners.com/exploitdb/EDB-ID:42121
192.168.56.101,53,1337DAY-ID-27896,0.0,https://www.vulners.com/zdt/1337DAY-ID-27896
192.168.56.101,80,SSV:69341,10.0,https://www.vulners.com/seebug/SSV:69341
192.168.56.101,80,SSV:19282,10.0,https://www.vulners.com/seebug/SSV:19282
192.168.56.101,80,SSV:19236,10.0,https://www.vulners.com/seebug/SSV:19236
192.168.56.101,80,PACKETSTORM:86964,10.0,https://www.vulners.com/packetstorm/PACKETSTORM:86964
192.168.56.101,80,MSF:AUXILIARY/DOS/HTTP/APACHE_MOD_ISAPI,10.0,https://www.vulners.com/metasploit/MSF:AUXILIARY/DOS/HTTP/APACHE_MOD_ISAPI
192.168.56.101,80,EXPLOITPACK:30ED468EC8BD5B71B2CB93825A852B80,10.0,https://www.vulners.com/exploitpack/EXPLOITPACK:30ED468EC8BD5B71B2CB93825A852B80
192.168.56.101,80,EDB-ID:14288,10.0,https://www.vulners.com/exploitdb/EDB-ID:14288
192.168.56.101,80,EDB-ID:11650,10.0,https://www.vulners.com/exploitdb/EDB-ID:11650
192.168.56.101,80,CVE-2010-0425,10.0,https://www.vulners.com/cve/CVE-2010-0425
192.168.56.101,80,SSV:72403,7.8,https://www.vulners.com/seebug/SSV:72403
192.168.56.101,80,SSV:26043,7.8,https://www.vulners.com/seebug/SSV:26043
192.168.56.101,80,SSV:20899,7.8,https://www.vulners.com/seebug/SSV:20899
192.168.56.101,80,PACKETSTORM:126851,7.8,https://www.vulners.com/packetstorm/PACKETSTORM:126851
192.168.56.101,80,PACKETSTORM:123527,7.8,https://www.vulners.com/packetstorm/PACKETSTORM:123527
192.168.56.101,80,PACKETSTORM:122962,7.8,https://www.vulners.com/packetstorm/PACKETSTORM:122962
192.168.56.101,80,MSF:AUXILIARY/DOS/HTTP/APACHE_RANGE_DOS,7.8,https://www.vulners.com/metasploit/MSF:AUXILIARY/DOS/HTTP/APACHE_RANGE_DOS
192.168.56.101,80,EXPLOITPACK:186B5FCF5C57B52642E62C06BABC6F83,7.8,https://www.vulners.com/exploitpack/EXPLOITPACK:186B5FCF5C57B52642E62C06BABC6F83
192.168.56.101,80,EDB-ID:18221,7.8,https://www.vulners.com/exploitdb/EDB-ID:18221
192.168.56.101,80,EDB-ID:17696,7.8,https://www.vulners.com/exploitdb/EDB-ID:17696
192.168.56.101,80,CVE-2011-3192,7.8,https://www.vulners.com/cve/CVE-2011-3192
192.168.56.101,80,1337DAY-ID-21170,7.8,https://www.vulners.com/zdt/1337DAY-ID-21170
192.168.56.101,80,SSV:60913,7.5,https://www.vulners.com/seebug/SSV:60913
192.168.56.101,80,SSV:12673,7.5,https://www.vulners.com/seebug/SSV:12673
192.168.56.101,80,SSV:12626,7.5,https://www.vulners.com/seebug/SSV:12626
192.168.56.101,80,CVE-2017-7679,7.5,https://www.vulners.com/cve/CVE-2017-7679
192.168.56.101,80,CVE-2013-2249,7.5,https://www.vulners.com/cve/CVE-2013-2249
192.168.56.101,80,SSV:11802,7.1,https://www.vulners.com/seebug/SSV:11802
192.168.56.101,80,SSV:11762,7.1,https://www.vulners.com/seebug/SSV:11762
192.168.56.101,80,CVE-2009-1891,7.1,https://www.vulners.com/cve/CVE-2009-1891
192.168.56.101,80,CVE-2009-1890,7.1,https://www.vulners.com/cve/CVE-2009-1890
192.168.56.101,80,SSV:60427,6.9,https://www.vulners.com/seebug/SSV:60427
192.168.56.101,80,SSV:60386,6.9,https://www.vulners.com/seebug/SSV:60386
192.168.56.101,80,SSV:60069,6.9,https://www.vulners.com/seebug/SSV:60069
192.168.56.101,80,CVE-2012-0883,6.9,https://www.vulners.com/cve/CVE-2012-0883
192.168.56.101,80,CVE-2018-1312,6.8,https://www.vulners.com/cve/CVE-2018-1312
192.168.56.101,80,MSF:AUXILIARY/DOS/HTTP/SLOWLORIS,6.4,https://www.vulners.com/metasploit/MSF:AUXILIARY/DOS/HTTP/SLOWLORIS
192.168.56.101,80,CVE-2017-9788,6.4,https://www.vulners.com/cve/CVE-2017-9788
192.168.56.101,80,VULNERLAB:967,5.8,https://www.vulners.com/vulnerlab/VULNERLAB:967
192.168.56.101,80,SSV:67231,5.8,https://www.vulners.com/seebug/SSV:67231
192.168.56.101,80,SSV:18637,5.8,https://www.vulners.com/seebug/SSV:18637
192.168.56.101,80,SSV:15088,5.8,https://www.vulners.com/seebug/SSV:15088
192.168.56.101,80,SSV:12600,5.8,https://www.vulners.com/seebug/SSV:12600
192.168.56.101,80,PACKETSTORM:84112,5.8,https://www.vulners.com/packetstorm/PACKETSTORM:84112
192.168.56.101,80,EXPLOITPACK:8B4E7E8DAE5A13C8250C6C33307CD66C,5.8,https://www.vulners.com/exploitpack/EXPLOITPACK:8B4E7E8DAE5A13C8250C6C33307CD66C
192.168.56.101,80,EDB-ID:10579,5.8,https://www.vulners.com/exploitdb/EDB-ID:10579
192.168.56.101,80,EDB-ID:10071,5.8,https://www.vulners.com/exploitdb/EDB-ID:10071
192.168.56.101,80,CVE-2009-3555,5.8,https://www.vulners.com/cve/CVE-2009-3555
192.168.56.101,80,SSV:60788,5.1,https://www.vulners.com/seebug/SSV:60788
192.168.56.101,80,CVE-2013-1862,5.1,https://www.vulners.com/cve/CVE-2013-1862
192.168.56.101,80,SSV:96537,5.0,https://www.vulners.com/seebug/SSV:96537
192.168.56.101,80,SSV:61874,5.0,https://www.vulners.com/seebug/SSV:61874
192.168.56.101,80,SSV:20993,5.0,https://www.vulners.com/seebug/SSV:20993
192.168.56.101,80,SSV:20979,5.0,https://www.vulners.com/seebug/SSV:20979
192.168.56.101,80,SSV:20969,5.0,https://www.vulners.com/seebug/SSV:20969
192.168.56.101,80,SSV:19592,5.0,https://www.vulners.com/seebug/SSV:19592
192.168.56.101,80,PACKETSTORM:105672,5.0,https://www.vulners.com/packetstorm/PACKETSTORM:105672
192.168.56.101,80,PACKETSTORM:105591,5.0,https://www.vulners.com/packetstorm/PACKETSTORM:105591
192.168.56.101,80,MSF:AUXILIARY/SCANNER/HTTP/REWRITE_PROXY_BYPASS,5.0,https://www.vulners.com/metasploit/MSF:AUXILIARY/SCANNER/HTTP/REWRITE_PROXY_BYPASS
192.168.56.101,80,MSF:AUXILIARY/SCANNER/HTTP/APACHE_OPTIONSBLEED,5.0,https://www.vulners.com/metasploit/MSF:AUXILIARY/SCANNER/HTTP/APACHE_OPTIONSBLEED
192.168.56.101,80,EXPLOITPACK:C8C256BE0BFF5FE1C0405CB0AA9C075D,5.0,https://www.vulners.com/exploitpack/EXPLOITPACK:C8C256BE0BFF5FE1C0405CB0AA9C075D
192.168.56.101,80,EXPLOITPACK:460143F0ACAE117DD79BD75EDFDA154B,5.0,https://www.vulners.com/exploitpack/EXPLOITPACK:460143F0ACAE117DD79BD75EDFDA154B
192.168.56.101,80,EDB-ID:17969,5.0,https://www.vulners.com/exploitdb/EDB-ID:17969
192.168.56.101,80,CVE-2017-9798,5.0,https://www.vulners.com/cve/CVE-2017-9798
192.168.56.101,80,CVE-2014-0231,5.0,https://www.vulners.com/cve/CVE-2014-0231
192.168.56.101,80,CVE-2014-0098,5.0,https://www.vulners.com/cve/CVE-2014-0098
192.168.56.101,80,CVE-2013-6438,5.0,https://www.vulners.com/cve/CVE-2013-6438
192.168.56.101,80,CVE-2011-3368,5.0,https://www.vulners.com/cve/CVE-2011-3368
192.168.56.101,80,CVE-2010-1452,5.0,https://www.vulners.com/cve/CVE-2010-1452
192.168.56.101,80,CVE-2010-0408,5.0,https://www.vulners.com/cve/CVE-2010-0408
192.168.56.101,80,CVE-2009-3095,5.0,https://www.vulners.com/cve/CVE-2009-3095
192.168.56.101,80,CVE-2008-2364,5.0,https://www.vulners.com/cve/CVE-2008-2364
192.168.56.101,80,CVE-2007-6750,5.0,https://www.vulners.com/cve/CVE-2007-6750
192.168.56.101,80,1337DAY-ID-28573,5.0,https://www.vulners.com/zdt/1337DAY-ID-28573
192.168.56.101,80,SSV:11668,4.9,https://www.vulners.com/seebug/SSV:11668
192.168.56.101,80,SSV:11501,4.9,https://www.vulners.com/seebug/SSV:11501
192.168.56.101,80,CVE-2009-1195,4.9,https://www.vulners.com/cve/CVE-2009-1195
192.168.56.101,80,SSV:30024,4.6,https://www.vulners.com/seebug/SSV:30024
192.168.56.101,80,EDB-ID:41768,4.6,https://www.vulners.com/exploitdb/EDB-ID:41768
192.168.56.101,80,CVE-2012-0031,4.6,https://www.vulners.com/cve/CVE-2012-0031
192.168.56.101,80,1337DAY-ID-27465,4.6,https://www.vulners.com/zdt/1337DAY-ID-27465
192.168.56.101,80,SSV:23169,4.4,https://www.vulners.com/seebug/SSV:23169
192.168.56.101,80,EDB-ID:41769,4.4,https://www.vulners.com/exploitdb/EDB-ID:41769
192.168.56.101,80,CVE-2011-3607,4.4,https://www.vulners.com/cve/CVE-2011-3607
192.168.56.101,80,1337DAY-ID-27473,4.4,https://www.vulners.com/zdt/1337DAY-ID-27473
192.168.56.101,80,SSV:60905,4.3,https://www.vulners.com/seebug/SSV:60905
192.168.56.101,80,SSV:60657,4.3,https://www.vulners.com/seebug/SSV:60657
192.168.56.101,80,SSV:60653,4.3,https://www.vulners.com/seebug/SSV:60653
192.168.56.101,80,SSV:60345,4.3,https://www.vulners.com/seebug/SSV:60345
192.168.56.101,80,SSV:4786,4.3,https://www.vulners.com/seebug/SSV:4786
192.168.56.101,80,SSV:3804,4.3,https://www.vulners.com/seebug/SSV:3804
192.168.56.101,80,SSV:30094,4.3,https://www.vulners.com/seebug/SSV:30094
192.168.56.101,80,SSV:30056,4.3,https://www.vulners.com/seebug/SSV:30056
192.168.56.101,80,SSV:24250,4.3,https://www.vulners.com/seebug/SSV:24250
192.168.56.101,80,SSV:20934,4.3,https://www.vulners.com/seebug/SSV:20934
192.168.56.101,80,SSV:20555,4.3,https://www.vulners.com/seebug/SSV:20555
192.168.56.101,80,SSV:19320,4.3,https://www.vulners.com/seebug/SSV:19320
192.168.56.101,80,PACKETSTORM:109284,4.3,https://www.vulners.com/packetstorm/PACKETSTORM:109284
192.168.56.101,80,EXPLOITPACK:FDCB3D93694E48CD5EE27CE55D6801DE,4.3,https://www.vulners.com/exploitpack/EXPLOITPACK:FDCB3D93694E48CD5EE27CE55D6801DE
192.168.56.101,80,EDB-ID:36663,4.3,https://www.vulners.com/exploitdb/EDB-ID:36663
192.168.56.101,80,EDB-ID:36352,4.3,https://www.vulners.com/exploitdb/EDB-ID:36352
192.168.56.101,80,EDB-ID:35738,4.3,https://www.vulners.com/exploitdb/EDB-ID:35738
192.168.56.101,80,EDB-ID:18442,4.3,https://www.vulners.com/exploitdb/EDB-ID:18442
192.168.56.101,80,CVE-2016-4975,4.3,https://www.vulners.com/cve/CVE-2016-4975
192.168.56.101,80,CVE-2013-1896,4.3,https://www.vulners.com/cve/CVE-2013-1896
192.168.56.101,80,CVE-2012-4558,4.3,https://www.vulners.com/cve/CVE-2012-4558
192.168.56.101,80,CVE-2012-3499,4.3,https://www.vulners.com/cve/CVE-2012-3499
192.168.56.101,80,CVE-2012-0053,4.3,https://www.vulners.com/cve/CVE-2012-0053
192.168.56.101,80,CVE-2011-4317,4.3,https://www.vulners.com/cve/CVE-2011-4317
192.168.56.101,80,CVE-2011-3639,4.3,https://www.vulners.com/cve/CVE-2011-3639
